Segmentname_old,Unnamed: 0_old,Segmentgruppe_old,Segment_old,Datenelement_old,Segment ID_old,Code_old,Qualifier_old,Beschreibung_old,Bedingungsausdruck_old,Bedingung_old,diff,Segmentname_new,Unnamed: 0_new,Segmentgruppe_new,Segment_new,Datenelement_new,Segment ID_new,Code_new,Qualifier_new,Beschreibung_new,Bedingungsausdruck_new,Bedingung_new
,,,,,,,,,,,NEW,Gültigkeitsende der ausgerollten Definition,53,SG5,DTM,2379,00013,303,,CCYYMMDDHHMMZZZ,X,
Versionsangabe,52,SG5,DTM,,00014,,,,Muss,,,Versionsangabe,54,SG5,DTM,,00014,,,,Muss,
Versionsangabe,53,SG5,DTM,2005,00014,293,,Fertigstellungsdatum/- zeit,X,,,Versionsangabe,55,SG5,DTM,2005,00014,293,,Fertigstellungsdatum/- zeit,X,
Versionsangabe,54,SG5,DTM,2380,00014,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00,,Versionsangabe,56,SG5,DTM,2380,00014,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00
Versionsangabe,55,SG5,DTM,2379,00014,304,,CCYYMMDDHHMMSSZZZ,X,,,Versionsangabe,57,SG5,DTM,2379,00014,304,,CCYYMMDDHHMMSSZZZ,X,
Prüfidentifikator,56,SG6,,,,,,,Muss,,,Prüfidentifikator,58,SG6,,,,,,,Muss,
Prüfidentifikator,57,SG6,RFF,,00018,,,,Muss,,,Prüfidentifikator,59,SG6,RFF,,00019,,,,Muss,
Prüfidentifikator,58,SG6,RFF,1153,00018,Z13,,Prüfidentifikator,X,,,Prüfidentifikator,60,SG6,RFF,1153,00019,Z13,,Prüfidentifikator,X,
Prüfidentifikator,59,SG6,RFF,1154,,25008,,Ausgerollte Schaltzeitdefinition,X,,,Prüfidentifikator,61,SG6,RFF,1154,,25008,,Ausgerollte Schaltzeitdefinition,X,
Referenz auf Reklamation,60,SG6,,,,,,,Soll [26],[26] sofern per ORDERS reklamiert,,Referenz auf Reklamation,62,SG6,,,,,,,Soll [26],[26] sofern per ORDERS reklamiert
Referenz auf Reklamation,61,SG6,RFF,,00019,,,,Muss,,,Referenz auf Reklamation,63,SG6,RFF,,00020,,,,Muss,
Referenz auf Reklamation,62,SG6,RFF,1153,00019,AGI,,Beantragungsnummer,X,,,Referenz auf Reklamation,64,SG6,RFF,1153,00020,AGI,,Beantragungsnummer,X,
Referenz auf Reklamation,63,SG6,RFF,1154,00019,,,"Referenz, Identifikation",X [504],[504] Hinweis: Wert aus BGM+Z55 DE1004 der ORDERS mit der die Reklamation einer Definition erfolgt ist,,Referenz auf Reklamation,65,SG6,RFF,1154,00020,,,"Referenz, Identifikation",X [504],[504] Hinweis: Wert aus BGM+Z55 DE1004 der ORDERS mit der die Reklamation einer Definition erfolgt ist
Schaltzeitdefinition,64,SG8,,,,,,,Muss [514] ∧ [515] ∧ ([516] ⊻ [517]),"[514] Hinweis: Für jeden Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) ist diese Sementgruppe einmal anzugeben
[515] Hinweis: Kein Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) darf mehrfach vorkommen
[516] Hinweis: Wenn der Code 303 im DE2379 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) genutzt wird, muss genau ein Wert im DE2380 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) identisch mit dem Wert aus DE2380 des Gültigkeitsbeginn der ausgerollten Definition (SG5 DTM+Z34) sein
[517] Hinweis: Wenn der Code 401 im DE2379 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) genutzt wird, muss genau ein Wert = 0000 im DE2380 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) sein",,Schaltzeitdefinition,66,SG8,,,,,,,Muss [514] ∧ [515] ∧ ([516] ⊻ [517]),"[514] Hinweis: Für jeden Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) ist diese Sementgruppe einmal anzugeben
[515] Hinweis: Kein Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) darf mehrfach vorkommen
[516] Hinweis: Wenn der Code 303 im DE2379 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) genutzt wird, muss genau ein Wert im DE2380 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) identisch mit dem Wert aus DE2380 des Gültigkeitsbeginn der ausgerollten Definition (SG5 DTM+Z34) sein
[517] Hinweis: Wenn der Code 401 im DE2379 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) genutzt wird, muss genau ein Wert = 0000 im DE2380 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) sein"
